Correct Response,Height (deg),Reaction Time (ms),Target
1,28,782.9996000794322,0
1,5.66,1067.6187000056357,2
1,4,708.3071000227333,2
1,4,660.1582001015172,1
1,1.41,832.9706999059395,0
1,11.31,574.1482000151277,2
1,5.66,587.2182000014559,1
1,4,651.2539999378473,0
1,21.17,755.1797000044585,1
1,1,792.8082999126614,1
1,28,836.839200025946,0
1,2.83,861.8503000173346,2
1,21.17,575.033999891542,1
1,16,611.9524999806285,0
1,5.66,663.1592000187934,1
1,1.41,556.0596999996901,2
1,16,888.2636000919715,2
1,1.41,690.9053999982402,1
1,28,694.3551000725106,2
1,8,521.9778999738023,0
1,1,1022.5879999627919,0
1,1.41,597.4717999627442,1
1,11.31,487.9207000188157,0
1,28,633.4932999737189,0
1,16,350.56469999771565,1
1,1.41,612.995900009349,1
1,28,829.7944000508264,2
1,8,569.398800056018,2
1,8,516.6849999507517,1
1,16,497.6469000387564,0
1,28,550.2156999712438,2
1,28,515.2359999768064,1
1,16,763.4663000056148,2
1,4,528.3904000237212,1
1,2.83,563.4558999729902,1
1,2,644.6641999348626,2
1,16,472.99039995349943,2
1,21.17,525.3119999827445,1
1,16,621.8541000555829,2
1,16,598.3109000656382,0
1,2,821.7619000054524,4
1,16,570.5649999720604,3
1,21.17,597.4735000921041,3
0,1,-102.56,4
1,4,681.532799993232,5
1,11.31,782.500300002806,5
0,1.41,737.3599999403209,5
1,8,452.0742000598088,5
1,2,768.015899956748,4
1,1.41,715.0612999969721,3
0,11.31,611.9696999951825,4
1,8,668.2354000215978,3
1,21.17,564.1911000996456,3
0,1,-102.56,4
0,21.17,862.6915999041498,4
1,5.66,827.2036999981478,4
0,2,562.7378999773041,4
0,16,373.75010005716234,5
1,1,688.2631000183151,3
1,16,536.3478000793234,3
0,1.41,598.4791999501736,4
1,1,555.6210000352562,3
1,21.17,355.78420004393905,5
1,1.41,653.5489999508113,3
0,2.83,427.7837999682501,5
1,11.31,530.818200000152,5
1,16,850.6643999419734,4
1,11.31,616.7254000022635,4
1,4,866.6820999053866,5
1,2,658.1827000766621,3
1,1,587.163400049843,3
1,2,548.4163000067324,3
1,4,612.8323999285326,3
1,28,831.6830999968201,4
1,8,523.8557999539748,5
1,2.83,817.1903000032157,4
1,4,570.1461000419781,3
1,8,587.4321000003815,3
1,1,652.2118998976052,4
1,1,815.875600004159,5
1,1.41,672.6097999192402,3
1,28,594.0199999888987,3
1,1.41,706.7416999773682,4
1,5.66,593.8627999560535,3
1,21.17,625.5509999166802,5
1,2.83,808.648700039424,5
1,21.17,535.7991999765486,5
0,2.83,1168.882599943839,5
1,4,791.7931999830157,3
1,1,911.5522000059113,5
1,2,718.2153000315279,6
1,1,859.266500017196,6
1,2.83,592.5762000545487,8
1,2.83,807.743800017573,8
1,2,596.2363999854401,6
1,1,764.5038999901712,8
1,2,744.3250000062958,6
1,8,642.5581000797079,7
0,2.83,913.7889999249578,6
1,21.17,706.2037999560685,7
0,11.31,683.8441000138969,6
1,11.31,426.100099953413,8
1,11.31,492.0290999864787,8
1,5.66,742.6401999830828,6
1,21.17,498.0749999224767,7
1,2,655.9574000123516,7
1,4,552.7110999967531,7
1,8,611.4394999160991,8
0,11.31,495.8335999684036,6
1,2.83,715.8200999540836,8
1,28,735.6585999071226,7
1,5.66,629.2647000221164,8
0,2.83,377.8107000100985,8
1,21.17,725.0382000632212,7
1,2,874.4433999811858,6
1,5.66,616.4399000402168,6
1,2.83,724.3295000219346,8
1,2.83,597.4032000224665,6
1,11.31,565.0554000451789,7
1,8,566.2264999985323,6
1,5.66,638.2556000310556,8
1,5.66,598.2326000515,6
1,4,542.3843999445066,6
1,2.83,566.4251999981329,7
1,11.31,547.0036000763625,6
1,1,795.8784000068531,8
1,1.41,681.7031000094116,8
1,2,543.1089999904484,6
1,11.31,528.8244000687823,7
1,2.83,629.5539000123367,6
1,8,583.8820000929386,8
0,1.41,601.0584000317008,8
1,28,615.773899974823,6
1,5.66,644.0770000038297,6
1,1.41,641.9891999387742,7
