Correct Response,Height (deg),Reaction Time (ms),Target,Face Start Time (CPU Uptime),UTC Time
420.69,8,10,1,424362718,1667859932.097604
420.69,8,10,2,424376687,1667859946.0774672
420.69,8,10,3,424391343,1667859960.7273495
0,28,-109.0,3,424469000,1667860038.385973
1,1,913.9225999792106,1,424473375,1667860042.7600248
420.69,8,10,4,424550296,1667860119.6775675
420.69,8,10,5,424563625,1667860133.0171523
420.69,8,10,6,424577218,1667860146.6126893
1,5.66,864.8501000101678,6,424653250,1667860222.6332078
420.69,8,10,7,424728015,1667860297.4081013
420.69,8,10,8,424741531,1667860310.920411
420.69,8,10,9,424754578,1667860323.971338
1,28,556.5343999736942,9,424830421,1667860399.817461
